Filename,Sample,Group,Batch,Cells per sample
Bone marrow_Mock 1_037_CD45+n=1e4.csv,01_Mock_01,Mock,1,30000000
Bone marrow_Mock 2_038_CD45+n=1e4.csv,02_Mock_02,Mock,2,30000000
Bone marrow_Mock 3_039_CD45+n=1e4.csv,03_Mock_03,Mock,1,30000000
Bone marrow_Mock 4_040_CD45+n=1e4.csv,04_Mock_04,Mock,2,30000000
Bone marrow_Mock 5_041_CD45+n=1e4.csv,05_Mock_05,Mock,1,30000000
Bone marrow_Mock 6_042_CD45+n=1e4.csv,06_Mock_06,Mock,2,30000000
Bone marrow_WNV D7 PBS 1_043_CD45+n=1e4.csv,07_WNV_01,WNV,1,20000000
Bone marrow_WNV D7 PBS 2_044_CD45+n=1e4.csv,08_WNV_02,WNV,2,20000000
Bone marrow_WNV D7 PBS 3_045_CD45+n=1e4.csv,09_WNV_03,WNV,1,20000000
Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4.csv,10_WNV_04,WNV,2,20000000
Bone marrow_WNV D7 PBS 5_047_CD45+n=1e4.csv,11_WNV_05,WNV,1,20000000
Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4.csv,12_WNV_06,WNV,2,20000000