"","Sample","Group","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1","01_Mock_01","Mock",0.0783231011284312,-0.115477217419936,-0.370956430814727,0.479992941119614,-0.0923694156687208,0.178970141045319,0.0227853199163022,-0.180572245641821,0.00753367268540774,-0.455734080648072,0.138706270831592,0.0879476992757027,-0.237767647223364,0.292640867919117,0.506959988719883,0.219678036639412,0.17176634826648,0.584962500721156,0.0199617316576711,0.117523303482493,0.0963845364243424,0.160936218215058,-0.119909463735197,-0.025355574276894,-0.0931094043914816,0.264449506526838,0.540568381362703,-0.0456426655557122,0.11493576684466,-0.332163317081817,0.083744669869187,-0.519374159093579,-0.317402496156714,0.159809135828962,-0.584962500721156,0.0361405922624052,0.0859732231098528,0.0931094043914815,0.415037499278844,-0.00799279075353063
"2","02_Mock_02","Mock",0.0604433183535147,-0.53051471669878,-0.0597547425204229,0.243925582886089,-0.163733866977363,-0.236067358233524,-0.161078872483884,0.304854581528421,-0.0855757317060738,-0.240660713265447,-0.375866901998166,-0.281286110390016,-0.0361337860537134,0.281325554691283,-0.078002512001273,0.0581341759847559,-0.15754127698648,-0.332575339086871,0.0800827240952418,0.0574023110449218,0.0963845364243424,-0.424026282506099,0.0942153416176505,-0.513855235496759,0.247927513443585,0.199354478304953,-0.137503523749935,0.155991195613938,-0.187627003175771,-0.0186638442650356,-0.162821425108843,0.0806952340177851,0.13585432535262,-0.0287470540455554,0.387023123109248,0.0805347116208586,0.0740005814437768,0.263034405833794,-0.169925001442312,-0.00799279075353063
"3","03_Mock_03","Mock",-0.044063956209118,0.206450877467427,0.196084161909167,-0.855610090664825,0.191174856972945,0.90143616551641,-0.308420588559071,0.082462160191973,0.0519277920438611,0.2558508472199,0.20909559872299,0.263034405833794,0.527767099139613,-0.168200320972852,-0.2844533894687,-0.131583552206117,-0.442943495848728,-0.695145418471579,-0.199236765326041,-0.24925902718913,-0.196397212803503,0.298439741964993,-0.00887815134645278,0.0494121941250782,-0.227410496103073,-0.721475308261439,-0.459431618637297,-0.342035668335937,0.490444901936866,0.543578579956037,-0.178418280159862,0.410616119658678,-0.0608375856524778,-0.277695703575812,-0.197939377611909,0.312264997536643,-0.118644496498619,0.485426827170242,-1.16992500144231,-0.159995884198581
"4","04_Mock_04","Mock",-0.0581391414208408,-0.793549122532573,-0.243200883616354,0.211504105193712,-0.08127170678539,-0.236067358233524,0.185843601870348,-0.917537839808027,0.216987038314358,0.345430215390352,-0.79090440127701,-0.34268665505416,-0.133430987408628,-0.38543103719352,-0.0306967972229165,0.0443941193584534,0.311944006314741,-0.180572245641821,-0.0387720931327953,-0.175258445745353,-0.160773303072782,-0.498026863949875,-0.0633259353688293,-0.187627003175771,-0.125530882083859,-0.0285974683733954,-0.137503523749935,0.0247466623356856,-0.339630096620821,-0.00743658884178154,0.356913452836694,-0.0448356480660738,0.0854808028375006,-0.0342014841376634,-0.285402218862248,-0.156504485679991,0.0497530351970994,-0.0995356735509144,-0.362570079384708,-0.271027196587324
"5","05_Mock_05","Mock",-0.105029574265135,0.791413378188583,0.196084161909167,-0.440572591385981,0.270200663715988,-0.683526335204746,0.0227853199163022,0.304854581528421,-0.2920266091735,0.0428298453219405,-0.0539388071108036,0.178145508247281,-0.0361337860537134,-0.297968195943181,-0.0306967972229165,-0.139403056665416,-0.0166787411466303,-0.695145418471579,-0.226288089880559,0.0574023110449218,-0.389042290745899,0.0089331247700076,-0.00887815134645278,0.0347654181606766,-0.0931094043914816,-0.108767817057379,0.241008099503795,0.082462160191973,0.0347654181606766,0.528230615622601,0.252216074170001,0.24168711069009,0.198138603606963,-0.0178996718085628,0.106915203916512,-0.0812163583757536,0.0859732231098528,-0.584962500721156,0.15200309344505,0.0851166136379508
"6","06_Mock_06","Mock",0.0582703506944697,-0.115477217419936,0.177936815198908,-0.0384741478146357,-0.19031446608068,-0.557995453120887,0.174788413361352,0.082462160191973,0.0519277920438611,-0.10500561390788,0.517217894085322,-0.00826761598360044,-0.237767647223364,0.125530882083859,-0.230005605446323,-0.0855361846866806,0.0164881227885691,0.667424660913129,0.298262894144775,0.146669649142009,0.412412029872021,0.254045622606539,0.0942153416176505,0.464449693403922,0.222392421336448,0.184481201823423,-0.289506617194985,0.0730018309429069,-0.287162676726686,-1.62634642148628,-0.532055234774562,-0.388790049283435,-0.101942788982151,0.155024073263585,0.32930762525296,-0.263419689596503,-0.203533394085132,-0.447458976971221,0.53051471669878,0.294569979266901
"7","07_WNV_01","WNV",-0.277783945198122,0.691877704637668,0.397718023078817,3.12711191790334,-0.776022353044658,0.611929548321426,0.781777220412508,0.745427172914403,1.97331795734749,-1.2680112014104,0.174330180562314,1.50879082023575,-2.97473324138957,-2.18379717602387,0.224560258019158,-0.187231581756031,-0.355480654598389,1.25238716163429,0.0428017080157823,-0.497186540632716,-1.71097038563326,1.13668867196838,-0.304334034872624,0.290420293628873,1.15650448567999,1.32842609587363,2.09515723304034,0.101198722773559,0.812372996824229,-0.575720348416307,0.36051568951689,1.2461605872694,-0.251168797756627,0.21602514539551,0.15754127698648,0.605996200593353,1.51140589375108,1.37851162325373,3.59825932333461,1.8265836000391
"8","08_WNV_02","WNV",-0.131360060095401,0.838719092966939,0.707046081186546,2.68871042555899,-0.431458061714266,0.249359468936717,0.729849428368646,-0.502500340529183,1.11605812946358,-0.434273718141761,-0.375866901998166,0.560016143590925,-0.804808239947257,-1.28109437737878,-0.341036917835067,0.137934887197876,-0.442943495848728,-0.695145418471579,-0.415686047296459,0.433550796930171,-1.05889368905357,1.36257007938471,-0.478363434647673,-0.104210994988134,0.196397212803503,0.00141510069304435,1.39854937649027,0.0247466623356856,-0.450661409009565,-0.931201003014696,0.580336002771631,0.870772164643554,0.163868701522217,0.782491302499277,0.387023123109248,0.349023547546761,0.846590085340704,0.552541023028779,3.23946593469539,1.27494117251797
"9","09_WNV_03","WNV",0.246442796236243,0.13245029602365,-0.267862937850623,2.29896694644405,-1.5974250495879,-0.442518235700951,0.620026150415895,0.082462160191973,1.85302372362978,-3.02117402310441,0.243042930646328,1.57669488473756,-3.97473324138957,-3.00691941393979,-0.399930606888636,-0.434146322226548,-0.688055993685259,0.404390255079335,-0.155248752948704,-0.590295945024197,-0.710970385633262,0.341508463856878,-0.406213648891838,-0.602664502454615,0.662965012722429,1.10575176050778,1.44745897697122,-0.141502680963228,0.68684211474037,-1.73326162540279,-0.173200570888842,1.19617245143772,0.231613308158051,0.368487622713536,0.253756592245783,0.0585084052908597,0.443234391109496,0.0931094043914815,2.8073549220576,1.27494117251797
"10","10_WNV_04","WNV",-0.235280481662388,1.16992500144231,0.488865911137013,3.32950131459216,-0.470741789364803,0.249359468936717,0.810632083084692,0.082462160191973,1.77571799746233,-1.02117402310441,-0.0539388071108036,1.22121423013917,-1.85925602396963,-2.53743413063857,-0.230005605446323,-0.0263403921787803,-0.635588573791124,0.584962500721156,-0.621737783790005,0.146669649142009,-1.27039779424728,0.981966077169738,-0.209176801832284,0.338918811320063,0.700439718141092,0.543308879522314,0.862496476250065,-0.108836492042906,0.460071252893347,-0.77073633082145,0.91518108689243,0.987585829626304,0.211621832970585,0.46829885639152,0.253756592245783,0.912657538827405,1.39592867633114,0.616671360448494,3.0198995574377,1.68502945582508
"11","11_WNV_05","WNV",-0.140601301612814,0.742503777707636,1.06398062590182,2.83953532780675,-0.83538210414101,-0.0554951125917036,0.707009452010535,-0.180572245641821,1.81488859474301,-1.36066048937608,0.174330180562314,1.49130339350691,-1.55969574211073,-1.57807611513592,0.263034405833794,0.0443941193584534,-1.27301849440642,0.497499659470817,-0.344802561139949,-0.104869117853955,-1.1963972128035,1.40379274211122,-0.478363434647673,0.528580030823638,0.437405312307298,0.350247379282067,1.5405683813627,-0.232411177161439,0.859678711602585,-0.526810747935361,0.664341978028942,1.44215169309178,0.333793702964529,0.487458434674975,-0.115477217419936,0.843495514320009,1.47544901597467,1.22239242133645,3.48828648130948,1.40704470852531
"12","12_WNV_06","WNV",-0.190667154202711,0.791413378188583,0.972188149982331,3.04209133348903,-0.514853099430427,0.316473664795254,0.68380206084921,0.745427172914403,1.7079733908265,-1.09272728412944,0.649668190108972,1.06448872645171,-2.38977074066841,-2.31504170930212,0.474538511027506,0.0443941193584534,-0.442943495848728,0.584962500721156,-0.574625187951886,-0.327261539190403,-0.93336280696971,1.20824193299341,-0.719371534151468,0.314873337353412,0.297680548640685,0.776899507463626,1.62803122261304,-0.0559846097771714,0.788125450577551,-0.643624412918111,0.504220151616988,1.40262332890515,0.394166320944011,0.150223086999764,0.0365258760251142,0.791028094425874,1.27039779424728,0.678071905112637,3.48828648130948,1.10748442666641
